title,price,location,district,link
3-комнатная квартира · 61 м² · 5/5 этаж,11 500 000 〒,"Ерганат Кошербаева 64""в "" кв.15",,https://krisha.kz/a/show/762252883
2-комнатная квартира · 53.2 м² · 1/9 этаж,18 000 000 〒,С торайғырова 110 — На пересечение улиц торайгырова и энергетиков,,https://krisha.kz/a/show/761358244
4-комнатная квартира · 86.6 м² · 5/6 этаж,15 000 000 〒,Машхур Жусупа 163 — 31 микр.,,https://krisha.kz/a/show/693183391
2-комнатная квартира · 45.5 м² · 3/5 этаж,10 500 000 〒,Энергетиков 60 16,,https://krisha.kz/a/show/1000207699
3-комнатная квартира · 65 м² · 5/10 этаж,21 500 000 〒,Машхур Жусупа 52/4,,https://krisha.kz/a/show/1000206002
3-комнатная квартира · 56.9 м² · 4/5 этаж,11 000 000 〒,Машхур жусупа 20,,https://krisha.kz/a/show/760193771
3-комнатная квартира · 68 м² · 2/9 этаж,21 000 000 〒,Машхур Жусупа 68,,https://krisha.kz/a/show/760419088
1-комнатная квартира · 30.8 м² · 4/4 этаж,6 000 000 〒,Дуйсембаева,,https://krisha.kz/a/show/760461743
2-комнатная квартира · 51.8 м² · 4/9 этаж,14 000 000 〒,Ауэзова 21/2,,https://krisha.kz/a/show/1000168085
3-комнатная квартира · 61 м² · 2/5 этаж,18 000 000 〒,Торайгырова 25,,https://krisha.kz/a/show/691692005
2-комнатная квартира · 42.6 м² · 4/5 этаж,11 300 000 〒,Королева 86,,https://krisha.kz/a/show/761722750
2-комнатная квартира · 53 м² · 6/9 этаж,18 000 000 〒,"Абая 49/ — Спорт комплекса ""Джасыбай""",,https://krisha.kz/a/show/696385981
2-комнатная квартира · 47 м² · 5/5 этаж,8 600 000 〒,Беркимбаева 182Б,,https://krisha.kz/a/show/1000317257
3-комнатная квартира · 48 м²,11 500 000 〒,Машхур жусупа 42А,,https://krisha.kz/a/show/1000327878
2-комнатная квартира · 43.3 м² · 5/5 этаж,9 300 000 〒,Энергетиков 103,,https://krisha.kz/a/show/761716122
3-комнатная квартира · 81.6 м² · 1/5 этаж,20 300 000 〒,Маншук Маметова 54/2,,https://krisha.kz/a/show/762205889
2-комнатная квартира · 43.3 м² · 5/5 этаж,9 300 000 〒,Энергетиков 103,,https://krisha.kz/a/show/761716122
